inputSize,wcDepth,wcInstrExec,analysisTime,mem,paths,resolvedChoicesNum,resolvedPerfectChoicesNum,resolvedHistoryChoicesNum,resolvedInvariantChoicesNum,unresolvedChoicesNum,newChoicesNum,wcConstraint
1,2,50,0,155,1,2,0,2,0,0,0,in0 == CONST_66 && in0 != CONST_65
2,4,71,0,155,1,4,0,4,0,0,0,in1 == CONST_70 && in1 != CONST_69 && in0 == CONST_66 && in0 != CONST_65
3,6,92,0,155,1,6,0,6,0,0,0,in2 != CONST_74 && in2 != CONST_73 && in1 == CONST_70 && in1 != CONST_69 && in0 == CONST_66 && in0 != CONST_65
4,8,113,0,155,1,8,0,8,0,0,0,in3 == CONST_66 && in3 != CONST_65 && in2 != CONST_74 && in2 != CONST_73 && in1 == CONST_70 && in1 != CONST_69 && in0 == CONST_66 && in0 != CONST_65
5,10,134,0,223,1,10,0,10,0,0,0,in4 == CONST_70 && in4 != CONST_69 && in3 == CONST_66 && in3 != CONST_65 && in2 != CONST_74 && in2 != CONST_73 && in1 == CONST_70 && in1 != CONST_69 && in0 == CONST_66 && in0 != CONST_65
6,12,155,0,223,1,12,0,12,0,0,0,in5 != CONST_74 && in5 != CONST_73 && in4 == CONST_70 && in4 != CONST_69 && in3 == CONST_66 && in3 != CONST_65 && in2 != CONST_74 && in2 != CONST_73 && in1 == CONST_70 && in1 != CONST_69 && in0 == CONST_66 && in0 != CONST_65
7,14,176,0,223,1,14,0,14,0,0,0,in6 == CONST_66 && in6 != CONST_65 && in5 != CONST_74 && in5 != CONST_73 && in4 == CONST_70 && in4 != CONST_69 && in3 == CONST_66 && in3 != CONST_65 && in2 != CONST_74 && in2 != CONST_73 && in1 == CONST_70 && in1 != CONST_69 && in0 == CONST_66 && in0 != CONST_65
8,16,197,0,223,1,16,0,16,0,0,0,in7 == CONST_70 && in7 != CONST_69 && in6 == CONST_66 && in6 != CONST_65 && in5 != CONST_74 && in5 != CONST_73 && in4 == CONST_70 && in4 != CONST_69 && in3 == CONST_66 && in3 != CONST_65 && in2 != CONST_74 && in2 != CONST_73 && in1 == CONST_70 && in1 != CONST_69 && in0 == CONST_66 && in0 != CONST_65
9,18,218,0,224,1,18,0,18,0,0,0,in8 != CONST_74 && in8 != CONST_73 && in7 == CONST_70 && in7 != CONST_69 && in6 == CONST_66 && in6 != CONST_65 && in5 != CONST_74 && in5 != CONST_73 && in4 == CONST_70 && in4 != CONST_69 && in3 == CONST_66 && in3 != CONST_65 && in2 != CONST_74 && in2 != CONST_73 && in1 == CONST_70 && in1 != CONST_69 && in0 == CONST_66 && in0 != CONST_65
10,20,239,0,224,1,20,0,20,0,0,0,in9 == CONST_66 && in9 != CONST_65 && in8 != CONST_74 && in8 != CONST_73 && in7 == CONST_70 && in7 != CONST_69 && in6 == CONST_66 && in6 != CONST_65 && in5 != CONST_74 && in5 != CONST_73 && in4 == CONST_70 && in4 != CONST_69 && in3 == CONST_66 && in3 != CONST_65 && in2 != CONST_74 && in2 != CONST_73 && in1 == CONST_70 && in1 != CONST_69 && in0 == CONST_66 && in0 != CONST_65
11,22,260,0,224,1,22,0,22,0,0,0,in10 == CONST_70 && in10 != CONST_69 && in9 == CONST_66 && in9 != CONST_65 && in8 != CONST_74 && in8 != CONST_73 && in7 == CONST_70 && in7 != CONST_69 && in6 == CONST_66 && in6 != CONST_65 && in5 != CONST_74 && in5 != CONST_73 && in4 == CONST_70 && in4 != CONST_69 && in3 == CONST_66 && in3 != CONST_65 && in2 != CONST_74 && in2 != CONST_73 && in1 == CONST_70 && in1 != CONST_69 && in0 == CONST_66 && in0 != CONST_65
