inputSize,wcDepth,wcInstrExec,analysisTime,mem,paths,resolvedChoicesNum,resolvedPerfectChoicesNum,resolvedHistoryChoicesNum,resolvedInvariantChoicesNum,unresolvedChoicesNum,newChoicesNum,wcConstraint
1,9,1678,0,155,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
2,9,1678,0,155,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
3,9,1678,0,155,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
4,9,1678,0,155,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
5,9,1678,0,229,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
6,9,1678,0,229,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
7,9,1678,0,229,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
8,9,1678,0,231,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
9,9,1678,0,231,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
10,9,1678,0,231,1,11,0,11,0,0,0,((((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((((in - CONST_1) - CONST_1) - CONST_1) - CONST_1) > CONST_1 && (((in - CONST_1) - CONST_1) - CONST_1) > CONST_1 && ((in - CONST_1) - CONST_1) > CONST_1 && (in - CONST_1) > CONST_1 && in > CONST_1 && in <= CONST_10 && in >= CONST_0
